title,views,date_time,likes,video_link,description
Build a Deep Facial Recognition App // Part 7 - Real Time Predictions with OpenCV // #Python,Build a Deep Facial Recognition App // Part 7 - Real Time Predictions with OpenCV // , ,258,https://www.youtube.com/watch?v=FNHLVRJ1HU4,"Ever wanted to implement facial recognition or verification into your application?

In this series you'll learn how to build a deep facial recognition application to authenticate into an application. You'll start off by buildi"
Build a Deep Facial Recognition App // Part 6 - Making Facial Recognition Predictions // #Python,Build a Deep Facial Recognition App // Part 6 - Making Facial Recognition Predictions // , ,228,https://www.youtube.com/watch?v=W1pw_ojO7XE,"Ever wanted to implement facial recognition or verification into your application?

In this series you'll learn how to build a deep facial recognition application to authenticate into an application. You'll start off by buildi"
How I became a Data Scientist at IBM (No CS Degree / No Masters),67K views,2 years ago,2.9K,https://www.youtube.com/watch?v=2UXWNsOPN30,"Sharing my story of how I became a data scientist at IBM. All done without a CS degree, masters or bootcamp! I think they key thing is that, either way you're going to have to put in the work. 
"
Build a Deep Facial Recognition App // Part 5 - Training a Siamese Neural Network // #Python,Build a Deep Facial Recognition App // Part 5 - Training a Siamese Neural Network // , ,305,https://www.youtube.com/watch?v=Z3Bafw9DO7o,"Ever wanted to implement facial recognition or verification into your application?

In this series you'll learn how to build a deep facial recognition application to authenticate into an application. You'll start off by buildi"
Build a Deep Facial Recognition App // Part 4 - Building a Siamese Neural Network // #Python,Build a Deep Facial Recognition App // Part 4 - Building a Siamese Neural Network // , ,421,https://www.youtube.com/watch?v=sQpPaW17TwU,"Ever wanted to implement facial recognition or verification into your application?

In this series you'll learn how to build a deep facial recognition application to authenticate into an application. You'll start off by buildi"
Build a Deep Facial Recognition App // Part 3 - Preparing Data for Deep Learning // TF Dataloader,16K views,2 years ago,342,https://www.youtube.com/watch?v=QBxQxYvdNek,"Ever wanted to implement facial recognition or verification into your application?

In this series you'll learn how to build a deep facial recognition application to authenticate into an application. You'll start off by buildi"
Machine Learning Projects You NEVER Knew Existed,128K views,2 years ago,4.6K,https://www.youtube.com/watch?v=sw3o0rAazMg,"Looking for machine learning projects to add to your portfolio?

This video is about to answer all your prayers all the way from beginner to advanced there's a project for you. Plus I'll give you links to"
Build a Deep Facial Recognition App // Part 2 Collecting Data // Deep Learning Project Tutorial,23K views,2 years ago,455,https://www.youtube.com/watch?v=UMjW4Db4E_g,"Ever wanted to implement facial recognition or verification into your application?

In this series you'll learn how to build a deep facial recognition application to authenticate into an application. You'll start off by buildi"
Build a Deep Facial Recognition App from Paper to Code // Part 1 // Deep Learning Project Tutorial,64K views,2 years ago,1.1K,https://www.youtube.com/watch?v=bK_k7eebGgc,"Ever wanted to implement facial recognition or verification into your application?

In this series you'll learn how to build a deep facial recognition application to authenticate into an application. You'll start off by buildi"
Tensorflow Multi-Person Pose Estimation with Python // Machine Learning Tutorial,41K views,2 years ago,1K,https://www.youtube.com/watch?v=KC7nJtBHBqg,"Get the code: https://github.com/nicknochnack/Multi... 

Links"
